rel_path,file_name,ext,size_bytes,status,searchable,programmatic,text_extractable,is_structured,page_or_sheet_count,attachment_count,estimated_entities,estimate_truncated,bde_person_count,bde_confirmed,entity_bucket,entities_found,value_signal,pi_categories,is_bde,complexity_bucket,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,detail,ocr_attempted,ocr,ocr_pages,img_ocr_qualifying,img_ocr_calls,img_ocr_ok,img_decode_failed,di_calls,elapsed_s,nr_stage1,bde_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_is_bde,s2_lane,s2_nr,s2_detail,llm_tokens_total
CNG_Data2k_variance/files/Q00897.01-0000908856.PDF,Q00897.01-0000908856.PDF,.pdf,5594465,ok,True,False,text,False,657,0,488,False,5,True,100+,Address | Phone | SSN | Money/Amount | Work-Related,True,Contact Information | Government-Issued Identification | Financial Account Information | Work-Related Information,True,,clear_responsive,False,,14207,bde,bde_llm_count_roster,False,False,0,0,0,0,0,0,98.685,False,True,True,,True,clear_yes,yes,15154,True,bde,False,,29361
CNG_Data2k_variance/files/Q00897.01-0000776245.0001.DOCX,Q00897.01-0000776245.0001.DOCX,.docx,56782,ok,True,False,text,False,0,0,4,False,0,False,0-10,Address | Phone | Tax ID | Account Balance | Money/Amount | Health | Work-Related,True,Contact Information | Government-Issued Identification | Financial Account Information | Health-Related Information | Work-Related Information,False,,ambiguous,True,no,8495,likely_non_responsive,,False,False,0,0,0,0,0,0,2.057,True,False,False,stage1_nr,False,,,0,False,,False,,8495
CNG_Data2k_variance/files/Q00897.01-0000895182.PDF,Q00897.01-0000895182.PDF,.pdf,70257,ok,True,False,text,False,1,0,1,False,0,False,0-10,Name | Money/Amount | Work-Related,False,Financial Account Information | Work-Related Information,False,,ambiguous,True,yes,3782,standard,,False,False,0,0,0,0,0,0,2.135,False,False,True,,True,likely_yes,yes,3864,False,standard,False,,7646
CNG_Data2k_variance\files\Q00897.01-0000011697.XLS,Q00897.01-0000011697.XLS,.xls,70376,ok,True,True,text,True,2,0,9,False,9,False,0-10,Name | Money/Amount,False,Financial Account Information,False,,ambiguous,True,yes,4305,standard,bde_llm_count_roster,False,False,0,0,0,0,0,0,4.897,False,False,True,,True,likely_yes,yes,2791,False,standard,False,,7096
CNG_Data2k_variance/files/Q00897.01-0000373112.MSG,Q00897.01-0000373112.MSG,.msg,219648,ok,True,False,text,False,0,0,3,False,0,False,0-10,Name | Address | Email | Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,4769,standard,,False,False,0,0,0,0,0,0,4.405,False,False,True,,True,likely_no,no,4833,False,likely_non_responsive,True,,9602
CNG_Data2k_variance/files/Q00897.01-0000669869.MSG,Q00897.01-0000669869.MSG,.msg,164864,ok,True,False,text,False,0,1,3,False,0,False,0-10,Name | Phone,True,Contact Information,False,,ambiguous,True,no,3727,likely_non_responsive,,False,False,0,0,0,0,0,0,1.327,True,False,False,stage1_nr,False,,,0,False,,False,,3727
CNG_Data2k_variance/files/Q00897.01-0000008810.PDF,Q00897.01-0000008810.PDF,.pdf,97727,ok,True,False,text,False,2,0,0,False,0,False,0-10,,False,,False,,clear_non_responsive,False,,0,likely_non_responsive,,False,False,0,0,0,0,0,0,0.256,True,False,False,stage1_nr,False,,,0,False,,False,,0
CNG_Data2k_variance/files/Q00897.01-0000793683.MSG,Q00897.01-0000793683.MSG,.msg,70656,ok,True,False,text,False,0,2,3,False,0,False,0-10,Name | Address | Email | Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,5184,standard,,False,False,0,0,0,0,0,0,3.095,False,False,True,,True,clear_no,no,5268,False,likely_non_responsive,True,,10452
CNG_Data2k_variance/files/Q00897.01-0000107346.PDF,Q00897.01-0000107346.PDF,.pdf,1056433,ok,True,True,text,True,15,0,239,False,2,False,100+,Address | Phone | SSN | Money/Amount | Work-Related,True,Contact Information | Government-Issued Identification | Financial Account Information | Work-Related Information,False,,clear_responsive,False,,9462,standard,bde_llm_count,True,True,15,0,0,0,0,1,20.125,False,False,True,,True,likely_no,no,10364,True,likely_non_responsive,True,,19826
CNG_Data2k_variance/files/Q00897.01-0000611892.MSG,Q00897.01-0000611892.MSG,.msg,122368,ok,True,False,text,False,0,2,6,False,0,False,0-10,Name | Email | Phone,True,Contact Information,False,,ambiguous,True,yes,4867,standard,,False,False,0,0,0,0,0,0,3.721,False,False,True,,True,clear_yes,yes,4942,False,standard,False,,9809
CNG_Data2k_variance/files/Q00897.01-0000545515.MSG,Q00897.01-0000545515.MSG,.msg,425472,ok,True,False,text,False,0,0,1,False,0,False,0-10,Address | Email | Phone,True,Contact Information,False,,ambiguous,True,no,5899,likely_non_responsive,,False,False,0,0,0,0,0,0,3.069,True,False,False,stage1_nr,False,,,0,False,,False,,5899
CNG_Data2k_variance/files/Q00897.01-0000670450.MSG,Q00897.01-0000670450.MSG,.msg,177664,ok,True,False,text,False,0,0,5,False,0,False,0-10,Name | Address | Email | Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,4536,standard,,False,False,0,0,0,0,0,0,3.272,False,False,True,,True,likely_no,no,4580,False,likely_non_responsive,True,,9116
CNG_Data2k_variance/files/Q00897.01-0000549731.MSG,Q00897.01-0000549731.MSG,.msg,168448,ok,True,False,text,False,0,0,0,False,0,False,0-10,,False,,False,,clear_non_responsive,False,,0,likely_non_responsive,,False,False,0,0,0,0,0,0,0.176,True,False,False,stage1_nr,False,,,0,False,,False,,0
CNG_Data2k_variance/files/Q00897.01-0000431365.0010.PDF,Q00897.01-0000431365.0010.PDF,.pdf,1820841,ok,True,False,text,False,10,0,3,False,0,False,0-10,Name | Address | Email | Phone | Money/Amount | Health,True,Contact Information | Financial Account Information | Health-Related Information,False,,ambiguous,True,yes,6727,standard,"img_ocr:p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p6,p6,p6,p6,p6,p6,p6,p6,p6,p6,p8,p8,p8,p8,p8,p8,p8,p8,p9,p9,p9,p9,p9,p9,p9,p9,p9,p9,p9,p9,p9,p9,p9(48/51,+4476chars)",False,False,0,51,51,48,0,51,218.903,False,False,True,,True,likely_no,no,6791,False,likely_non_responsive,True,,13518
CNG_Data2k_variance/files/Q00897.01-0000473447.MSG,Q00897.01-0000473447.MSG,.msg,78336,ok,True,False,text,False,0,0,11,False,11,False,10-20,Name | Address | Email | Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,10653,standard,bde_llm_count,False,False,0,0,0,0,0,0,5.414,False,False,True,,True,likely_no,no,5744,False,likely_non_responsive,True,,16397
CNG_Data2k_variance/files/Q00897.01-0000020303.PDF,Q00897.01-0000020303.PDF,.pdf,645559,ok,True,False,text,False,3,0,6,False,0,False,0-10,Name | Email | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,4284,standard,,False,False,0,0,0,0,0,0,2.582,False,False,True,,True,clear_yes,yes,4320,False,standard,False,,8604
CNG_Data2k_variance/files/Q00897.01-0000887334.PDF,Q00897.01-0000887334.PDF,.pdf,59982,ok,True,False,text,False,1,0,3,False,0,False,0-10,Address | Email | Phone | Money/Amount | Demographic,True,Contact Information | Financial Account Information | Demographic Information,False,,ambiguous,True,no,4388,likely_non_responsive,,False,False,0,0,0,0,0,0,1.383,True,False,False,stage1_nr,False,,,0,False,,False,,4388
