which,control_id,file_name,human_entities,type,stage1_lane,stage2_lane,stage2_level,tool_est,bde_person_count,effective,searchable,di_calls,detail
stage1_miss(FN),q00897.01-0000293741,Q00897.01-0000293741.PDF,1218,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000294399,Q00897.01-0000294399.PDF,412,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000294592,Q00897.01-0000294592.PDF,408,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000292852,Q00897.01-0000292852.PDF,371,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000021790,Q00897.01-0000021790.PDF,55,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000912173,Q00897.01-0000912173.PDF,34,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000890677,Q00897.01-0000890677.PDF,30,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000854816,Q00897.01-0000854816.PDF,21,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000013615,Q00897.01-0000013615.PDF,20,PDF,likely_non_responsive,,,1,0,1,True,1,"img_ocr:p1(1/1,+7chars)"
stage1_miss(FN),q00897.01-0000011418,Q00897.01-0000011418.PDF,17,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000458203,Q00897.01-0000458203.MSG,17,Messages,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000908033,Q00897.01-0000908033.PDF,10,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000289493,Q00897.01-0000289493.PDF,9,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000909871,Q00897.01-0000909871.PDF,6,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000893025,Q00897.01-0000893025.PDF,5,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000888757,Q00897.01-0000888757.PDF,2,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000000920,Q00897.01-0000000920.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000004862,Q00897.01-0000004862.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000012058,Q00897.01-0000012058.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000014940,Q00897.01-0000014940.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,2,"img_ocr:none(2 calls,0 chars)"
stage1_miss(FN),q00897.01-0000015088,Q00897.01-0000015088.PDF,1,PDF,likely_non_responsive,,,2,0,2,True,0,
stage1_miss(FN),q00897.01-0000292082,Q00897.01-0000292082.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000657830,Q00897.01-0000657830.MSG,1,Messages,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000857056,Q00897.01-0000857056.PDF,1,PDF,likely_non_responsive,,,2,0,2,True,0,
stage1_miss(FN),q00897.01-0000858544,Q00897.01-0000858544.PDF,1,PDF,likely_non_responsive,,,2,0,2,True,0,
stage1_miss(FN),q00897.01-0000865188,Q00897.01-0000865188.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000889027,Q00897.01-0000889027.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000890379,Q00897.01-0000890379.PDF,1,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000890978,Q00897.01-0000890978.PDF,1,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000892701,Q00897.01-0000892701.PDF,1,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000894193,Q00897.01-0000894193.PDF,1,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000895744,Q00897.01-0000895744.PDF,1,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000896186,Q00897.01-0000896186.PDF,1,PDF,likely_non_responsive,,,0,0,0,True,0,
stage1_miss(FN),q00897.01-0000897129,Q00897.01-0000897129.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000897213,Q00897.01-0000897213.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000899084,Q00897.01-0000899084.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000900054,Q00897.01-0000900054.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000900464,Q00897.01-0000900464.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000900504,Q00897.01-0000900504.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
stage1_miss(FN),q00897.01-0000900576,Q00897.01-0000900576.PDF,1,PDF,likely_non_responsive,,,1,0,1,True,0,
